,name,latitude,longitude,empty_slots,free_bikes,total_bikes
0,Queen St E / Woodward Ave,43.665269,-79.319796,4,15,19
1,Primrose Ave / Davenport Rd,43.67142,-79.445947,11,4,15
2,Queen St. E / Rhodes Ave.,43.666224,-79.317693,11,12,23
3,Bond St / Queen St E,43.653236,-79.376716,16,6,22
4,Church St / Alexander St,43.663722,-79.380288,20,7,27
5,University Ave / Gerrard St W (East Side),43.657763,-79.389165,20,4,24
6,Edward St / Yonge St,43.656729,-79.382736,13,10,23
7,Euclid Ave / Bloor St W,43.664467,-79.414783,11,6,17
8,Yonge St / Aylmer Ave,43.675492,-79.388858,3,12,15
9,Davenport Rd / Avenue Rd,43.674991,-79.396273,10,0,10
10,Yonge St / Yorkville Ave,43.671944,-79.387778,14,3,17
11,Dundas St E / Broadview Ave,43.662365,-79.351104,2,17,19
12,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,19,28,47
13,Gerrard St E / River St,43.663993,-79.358534,3,8,11
14,Jarvis St / Dundas St E,43.657266,-79.374756,2,22,24
15,Logan Av / Gerrard St E,43.6672144,-79.3452697,1,14,15
16,Regal Rd / Dufferin St,43.673939,-79.441159,8,6,14
17,Morse St / Eastern Ave,43.657991,-79.340075,8,3,11
18,Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,9,13,22
19,Blake St / Boultbee Ave,43.672453,-79.338259,7,8,15
20,Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,7,8,15
21,Gamble Ave / Broadview Ave,43.689211,-79.35438,11,11,22
22,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,7,9,16
23,Dundas St E / Pembroke St - SMART,43.658295,-79.372346,5,11,16
24,Victoria Park Subway Station - SMART,43.6940155,-79.2889842,9,11,20
25,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,10,6,16
26,Lawton Blvd / Yonge St,43.6910667,-79.39535,14,1,15
27,Yonge St / Davisville Ave,43.6975969,-79.39654,13,2,15
28,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,7,25,32
29,St. George St / Bloor St W,43.667333,-79.399429,15,4,19
30,King St W / York St,43.6480008,-79.383177,15,6,21
31,University Ave / Elm St,43.656518,-79.389099,10,0,10
32,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,14,2,16
33,Bloor St W / Dundas St W,43.6563889,-79.45166666666667,9,6,15
34,Bathurst St / Fort York Blvd,43.639179,-79.399595,11,8,19
35,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,10,5,15
36,Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,8,11,19
37,Dundas St W / Edna Ave,43.657192,-79.452559,10,4,14
38,College St / Major St,43.6576,-79.4032,7,6,13
39,McGill St / Church St,43.660694,-79.379052,13,6,19
40,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,13,12,25
41,College Park South,43.659777,-79.382767,15,3,18
42,25 York St – Union Station South,43.643667,-79.380414,7,4,11
43,161 Bleecker St (South of Wellesley),43.666233,-79.373327,15,8,23
44,Spadina Ave / Fort York Blvd,43.640114,-79.393249,2,17,19
45,Augusta Ave / Denison Sq,43.653766,-79.4016759,4,7,11
46,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,10,5,15
47,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,19,0,19
48,St Clarens Ave / College St,43.651238,-79.43868,4,11,15
49,Ossington Ave / College St,43.6544915,-79.422634,7,4,11
50,High Park Subway Station,43.6543604,-79.4655296,10,1,11
51,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,0,18,18
52,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,3,9,12
53,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,0,19,19
54,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,25,6,31
55,Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,12,7,19
56,Dundas St W / Roncesvalles Ave Green P -SMART,43.6534268,-79.4512787,12,0,12
57,Erskine Ave / Yonge St SMART,43.7112153,-79.39894,14,2,16
58,D'Arcy St / McCaul St - SMART,43.655227,-79.39201,11,4,15
59,Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962,8,4,12
60,Cumberland St / Bay St SMART,43.6704537,-79.39014,9,0,9
